                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3852,                0.09091,                      1,                 1.3936,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.4239,                0.09091,                      1,                 1.3955,             3.5347e-05,             3.5347e-05,             3.5347e-05
                      3,                 1.3946,                0.09091,                      1,                 1.3955,             5.5989e-05,             5.5989e-05,             5.5989e-05
                      4,                  1.366,                0.09091,                      1,                 1.3955,             7.6207e-05,             7.6207e-05,             7.6207e-05
                      5,                 1.3653,                0.09091,                      1,                 1.3926,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      6,                 1.3559,                0.09091,                      1,                 1.3897,             0.00011537,             0.00011537,             0.00011537
                      7,                 1.3281,                0.27273,                      1,                 1.3818,             0.00013432,             0.00013432,             0.00013432
                      8,                 1.3865,                0.27273,                      1,                 1.3769,             0.00015284,             0.00015284,             0.00015284
                      9,                 1.2892,                0.63636,                      1,                 1.3652,             0.00017094,             0.00017094,             0.00017094
                     10,                 1.2867,                0.27273,                      1,                 1.3613,             0.00018861,             0.00018861,             0.00018861
                     11,                 1.2647,                0.27273,                      1,                 1.3496,             0.00020586,             0.00020586,             0.00020586
                     12,                  1.307,                0.63636,                      1,                 1.3447,             0.00022269,             0.00022269,             0.00022269
                     13,                 1.2968,                0.27273,                      1,                 1.3428,             0.00023909,             0.00023909,             0.00023909
                     14,                   1.28,                0.27273,                      1,                 1.3467,             0.00025506,             0.00025506,             0.00025506
                     15,                 1.2603,                0.27273,                      1,                 1.3477,             0.00027062,             0.00027062,             0.00027062
                     16,                 1.2544,                0.27273,                      1,                 1.3457,             0.00028575,             0.00028575,             0.00028575
                     17,                 1.1457,                0.27273,                      1,                 1.3496,             0.00030045,             0.00030045,             0.00030045
                     18,                 1.1516,                0.27273,                      1,                 1.3496,             0.00031473,             0.00031473,             0.00031473
                     19,                  1.325,                0.27273,                      1,                 1.3447,             0.00032859,             0.00032859,             0.00032859
                     20,                 1.3294,                0.27273,                      1,                 1.3369,             0.00034202,             0.00034202,             0.00034202
                     21,                 1.2195,                0.27273,                      1,                 1.3311,             0.00035503,             0.00035503,             0.00035503
                     22,                 1.2596,                0.36364,                      1,                 1.3193,             0.00036761,             0.00036761,             0.00036761
                     23,                 1.2262,                0.45455,                      1,                 1.3115,             0.00037977,             0.00037977,             0.00037977
                     24,                 1.2217,                0.36364,                      1,                 1.3106,             0.00039151,             0.00039151,             0.00039151
                     25,                 1.2054,                0.27273,                      1,                  1.334,             0.00040282,             0.00040282,             0.00040282
                     26,                 1.2392,                0.27273,                      1,                  1.335,             0.00041371,             0.00041371,             0.00041371
                     27,                 1.2348,                0.18182,                      1,                 1.3936,             0.00042417,             0.00042417,             0.00042417
                     28,                 1.1628,                      0,                      1,                 1.4873,             0.00043421,             0.00043421,             0.00043421
                     29,                 1.3337,                      0,                      1,                 1.4873,             0.00044383,             0.00044383,             0.00044383
                     30,                  1.253,                      0,                      1,                 1.4463,             0.00045302,             0.00045302,             0.00045302
                     31,                 1.2366,                0.18182,                      1,                 1.3711,             0.00046179,             0.00046179,             0.00046179
                     32,                 1.2658,                0.36364,                      1,                 1.2969,             0.00047013,             0.00047013,             0.00047013
                     33,                 1.2124,                0.36364,                      1,                 1.2969,             0.00047805,             0.00047805,             0.00047805
                     34,                 1.1218,                0.45455,                      1,                 1.2647,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.3274,                0.36364,                      1,                  1.251,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.2319,                0.36364,                      1,                 1.2539,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.2421,                0.36364,                      1,                 1.2539,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.2639,                0.27273,                      1,                 1.2656,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.3102,                0.27273,                      1,                 1.2656,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.2826,                0.45455,                      1,                 1.2559,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.1553,                0.45455,                      1,                 1.2559,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.2225,                0.36364,                      1,                 1.2481,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.2695,                0.54545,                      1,                 1.2441,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.2046,                0.63636,                      1,                 1.2666,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.1615,                0.63636,                      1,                 1.2666,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.1785,                0.36364,                      1,                 1.2969,             0.00039591,             0.00039591,             0.00039591
                     47,                  1.228,                0.54545,                      1,                 1.2949,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.1021,                0.36364,                      1,                 1.3106,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.2263,                0.36364,                      1,                 1.3106,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.1968,                0.27273,                      1,                 1.3076,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.1769,                0.27273,                      1,                 1.2988,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.1374,                0.36364,                      1,                 1.3115,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.2528,                0.36364,                      1,                 1.3115,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.2291,                0.36364,                      1,                 1.3066,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.1445,                0.36364,                      1,                 1.2969,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.1957,                0.45455,                      1,                 1.2949,             0.00032523,             0.00032523,             0.00032523
                     57,                  1.209,                0.45455,                      1,                 1.2949,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.2782,                0.27273,                      1,                 1.2803,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.1498,                0.27273,                      1,                 1.2803,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.2819,                0.27273,                      1,                 1.2871,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.1243,                0.27273,                      1,                 1.2871,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.3329,                0.27273,                      1,                 1.2783,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.3943,                0.27273,                      1,                 1.2666,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.2891,                0.27273,                      1,                 1.3193,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.2315,                0.27273,                      1,                 1.3193,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.1426,                0.18182,                      1,                 1.3477,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.0975,                0.18182,                      1,                 1.3418,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.1376,                0.18182,                      1,                 1.3398,              0.0002404,              0.0002404,              0.0002404
                     69,                  1.175,                0.18182,                      1,                 1.3398,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.2692,                0.18182,                      1,                 1.3428,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.2166,                0.18182,                      1,                  1.335,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.2016,                0.18182,                      1,                 1.3486,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.1736,                0.18182,                      1,                 1.3486,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.2408,                0.18182,                      1,                 1.3516,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.1043,                0.18182,                      1,                 1.3438,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.1756,                0.45455,                      1,                 1.3369,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.1988,                0.45455,                      1,                 1.3369,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.1822,                0.45455,                      1,                 1.3223,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.1894,                0.45455,                      1,                 1.3262,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.3388,                0.45455,                      1,                 1.3106,             0.00015558,             0.00015558,             0.00015558
                     81,                  1.224,                0.45455,                      1,                 1.3106,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.2083,                0.45455,                      1,                   1.29,             0.00014144,             0.00014144,             0.00014144
                     83,                  1.185,                0.45455,                      1,                 1.2812,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.1888,                0.45455,                      1,                 1.2637,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.1761,                0.45455,                      1,                 1.2637,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.1739,                0.45455,                      1,                 1.2481,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.3271,                0.54545,                      1,                  1.251,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.2461,                0.54545,                      1,                 1.2412,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.2566,                0.54545,                      1,                 1.2412,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                   1.19,                0.45455,                      1,                 1.2559,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.1767,                0.54545,                      1,                 1.2519,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.1992,                0.45455,                      1,                 1.2481,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.2288,                0.45455,                      1,                 1.2481,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.1729,                0.45455,                      1,                 1.2529,              5.662e-05,              5.662e-05,              5.662e-05
