                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3943,                0.09091,                      1,                 1.3926,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.3888,                0.09091,                      1,                 1.3945,             3.5347e-05,             3.5347e-05,             3.5347e-05
                      3,                 1.3686,                0.09091,                      1,                 1.3955,             5.5989e-05,             5.5989e-05,             5.5989e-05
                      4,                 1.3585,                0.09091,                      1,                 1.3975,             7.6207e-05,             7.6207e-05,             7.6207e-05
                      5,                 1.3555,                0.09091,                      1,                 1.3975,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      6,                  1.338,                0.09091,                      1,                 1.3955,             0.00011537,             0.00011537,             0.00011537
                      7,                 1.3029,                0.09091,                      1,                 1.3867,             0.00013432,             0.00013432,             0.00013432
                      8,                  1.326,                0.63636,                      1,                 1.3799,             0.00015284,             0.00015284,             0.00015284
                      9,                 1.2784,                0.63636,                      1,                 1.3633,             0.00017094,             0.00017094,             0.00017094
                     10,                 1.2964,                0.63636,                      1,                 1.3535,             0.00018861,             0.00018861,             0.00018861
                     11,                 1.2529,                0.27273,                      1,                 1.3262,             0.00020586,             0.00020586,             0.00020586
                     12,                  1.244,                0.27273,                      1,                 1.3154,             0.00022269,             0.00022269,             0.00022269
                     13,                 1.2482,                0.27273,                      1,                 1.3203,             0.00023909,             0.00023909,             0.00023909
                     14,                  1.199,                0.27273,                      1,                 1.3311,             0.00025506,             0.00025506,             0.00025506
                     15,                 1.1992,                0.27273,                      1,                 1.3623,             0.00027062,             0.00027062,             0.00027062
                     16,                 1.2488,                0.27273,                      1,                 1.3721,             0.00028575,             0.00028575,             0.00028575
                     17,                 1.1692,                0.27273,                      1,                 1.3877,             0.00030045,             0.00030045,             0.00030045
                     18,                 1.2148,                0.27273,                      1,                 1.3769,             0.00031473,             0.00031473,             0.00031473
                     19,                 1.3163,                0.27273,                      1,                 1.3564,             0.00032859,             0.00032859,             0.00032859
                     20,                 1.1803,                0.27273,                      1,                 1.3467,             0.00034202,             0.00034202,             0.00034202
                     21,                 1.3028,                0.27273,                      1,                 1.3506,             0.00035503,             0.00035503,             0.00035503
                     22,                 1.1911,                0.27273,                      1,                 1.3574,             0.00036761,             0.00036761,             0.00036761
                     23,                 1.1044,                0.45455,                      1,                 1.3818,             0.00037977,             0.00037977,             0.00037977
                     24,                 1.2694,                0.45455,                      1,                 1.3652,             0.00039151,             0.00039151,             0.00039151
                     25,                  1.101,                0.45455,                      1,                 1.3311,             0.00040282,             0.00040282,             0.00040282
                     26,                 1.2226,                0.45455,                      1,                 1.2881,             0.00041371,             0.00041371,             0.00041371
                     27,                 1.2363,                0.54545,                      1,                 1.2822,             0.00042417,             0.00042417,             0.00042417
                     28,                 1.3664,                0.63636,                      1,                 1.2852,             0.00043421,             0.00043421,             0.00043421
                     29,                 1.3021,                0.63636,                      1,                 1.2852,             0.00044383,             0.00044383,             0.00044383
                     30,                 1.2779,                0.63636,                      1,                 1.2656,             0.00045302,             0.00045302,             0.00045302
                     31,                 1.1822,                0.63636,                      1,                 1.2549,             0.00046179,             0.00046179,             0.00046179
                     32,                 1.2063,                0.63636,                      1,                 1.2529,             0.00047013,             0.00047013,             0.00047013
                     33,                 1.1819,                0.63636,                      1,                 1.2529,             0.00047805,             0.00047805,             0.00047805
                     34,                 1.1262,                0.63636,                      1,                 1.2519,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.2307,                0.63636,                      1,                 1.2539,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.1648,                0.63636,                      1,                   1.25,              0.0004666,              0.0004666,              0.0004666
                     37,                  1.165,                0.63636,                      1,                   1.25,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.1851,                0.63636,                      1,                 1.2539,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.2258,                0.63636,                      1,                 1.2656,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.2067,                0.63636,                      1,                 1.2676,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.1515,                0.63636,                      1,                 1.2676,             0.00043126,             0.00043126,             0.00043126
                     42,                  1.221,                0.63636,                      1,                 1.2715,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.1888,                0.63636,                      1,                 1.2881,             0.00041712,             0.00041712,             0.00041712
                     44,                  1.175,                0.63636,                      1,                 1.3018,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.1613,                0.63636,                      1,                 1.3018,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.1002,                0.63636,                      1,                 1.3086,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.2582,                0.27273,                      1,                 1.3076,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.1352,                0.36364,                      1,                 1.3096,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.1402,                0.36364,                      1,                 1.3096,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.2231,                0.36364,                      1,                 1.3066,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.2607,                0.45455,                      1,                 1.3008,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.2349,                0.45455,                      1,                 1.3213,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.1796,                0.45455,                      1,                 1.3213,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.2464,                0.45455,                      1,                 1.2793,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.1465,                0.45455,                      1,                 1.2481,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.2761,                0.45455,                      1,                 1.2344,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.2953,                0.45455,                      1,                 1.2344,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.2437,                0.45455,                      1,                 1.2295,             0.00031109,             0.00031109,             0.00031109
